gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0W1, d0W0.645649, d0W0.791065, d0W0.472367, d0W0.543691, d0W0.645649, d0W0.391606, d0W0.423427, d0W0.472367, d0W0.543691, d0W0.367879, d0W0.373673, d0W0.391606, d0W0.423427, d0W0.472367, d0W0.391606, d0W0.373673, d0W0.367879, d0W0.373673, d0W0.391606, d0W0.423427, d0W0.472367, d0W0.423427, d0W0.391606, d0W0.373673, d0W0.367879, d0W0.373673, d0W0.391606, d0W0.645649, d0W0.543691, d0W0.472367, d0W0.423427, d0W0.391606, d0W0.373673, d0W0.367879, d0W0.373673, d0W1, d0W0.791065, d0W0.645649, d0W0.543691, d0W0.472367, d0W0.423427, d0W0.391606, d0W0.373673, d0W0.367879, d1W1, d1W0.645649, d1W0.791065, d1W0.472367, d1W0.543691, d1W0.645649, d1W0.391606, d1W0.423427, d1W0.472367, d1W0.543691, d1W0.367879, d1W0.373673, d1W0.391606, d1W0.423427, d1W0.472367, d1W0.391606, d1W0.373673, d1W0.367879, d1W0.373673, d1W0.391606, d1W0.423427, d1W0.472367, d1W0.423427, d1W0.391606, d1W0.373673, d1W0.367879, d1W0.373673, d1W0.391606, d1W0.645649, d1W0.543691, d1W0.472367, d1W0.423427, d1W0.391606, d1W0.373673, d1W0.367879, d1W0.373673, d1W1, d1W0.791065, d1W0.645649, d1W0.543691, d1W0.472367, d1W0.423427, d1W0.391606, d1W0.373673, d1W0.367879, d2W1, d2W0.645649, d2W0.791065, d2W0.472367, d2W0.543691, d2W0.645649, d2W0.391606, d2W0.423427, d2W0.472367, d2W0.543691, d2W0.367879, d2W0.373673, d2W0.391606, d2W0.423427, d2W0.472367, d2W0.391606, d2W0.373673, d2W0.367879, d2W0.373673, d2W0.391606, d2W0.423427, d2W0.472367, d2W0.423427, d2W0.391606, d2W0.373673, d2W0.367879, d2W0.373673, d2W0.391606, d2W0.645649, d2W0.543691, d2W0.472367, d2W0.423427, d2W0.391606, d2W0.373673, d2W0.367879, d2W0.373673, d2W1, d2W0.791065, d2W0.645649, d2W0.543691, d2W0.472367, d2W0.423427, d2W0.391606, d2W0.373673, d2W0.367879, d3W1, d3W0.645649, d3W0.791065, d3W0.472367, d3W0.543691, d3W0.645649, d3W0.391606, d3W0.423427, d3W0.472367, d3W0.543691, d3W0.367879, d3W0.373673, d3W0.391606, d3W0.423427, d3W0.472367, d3W0.391606, d3W0.373673, d3W0.367879, d3W0.373673, d3W0.391606, d3W0.423427, d3W0.472367, d3W0.423427, d3W0.391606, d3W0.373673, d3W0.367879, d3W0.373673, d3W0.391606, d3W0.645649, d3W0.543691, d3W0.472367, d3W0.423427, d3W0.391606, d3W0.373673, d3W0.367879, d3W0.373673, d3W1, d3W0.791065, d3W0.645649, d3W0.543691, d3W0.472367, d3W0.423427, d3W0.391606, d3W0.373673, d3W0.367879, d4W1, d4W0.645649, d4W0.791065, d4W0.472367, d4W0.543691, d4W0.645649, d4W0.391606, d4W0.423427, d4W0.472367, d4W0.543691, d4W0.367879, d4W0.373673, d4W0.391606, d4W0.423427, d4W0.472367, d4W0.391606, d4W0.373673, d4W0.367879, d4W0.373673, d4W0.391606, d4W0.423427, d4W0.472367, d4W0.423427, d4W0.391606, d4W0.373673, d4W0.367879, d4W0.373673, d4W0.391606, d4W0.645649, d4W0.543691, d4W0.472367, d4W0.423427, d4W0.391606, d4W0.373673, d4W0.367879, d4W0.373673, d4W1, d4W0.791065, d4W0.645649, d4W0.543691, d4W0.472367, d4W0.423427, d4W0.391606, d4W0.373673, d4W0.367879, d5W1, d5W0.645649, d5W0.791065, d5W0.472367, d5W0.543691, d5W0.645649, d5W0.391606, d5W0.423427, d5W0.472367, d5W0.543691, d5W0.367879, d5W0.373673, d5W0.391606, d5W0.423427, d5W0.472367, d5W0.391606, d5W0.373673, d5W0.367879, d5W0.373673, d5W0.391606, d5W0.423427, d5W0.472367, d5W0.423427, d5W0.391606, d5W0.373673, d5W0.367879, d5W0.373673, d5W0.391606, d5W0.645649, d5W0.543691, d5W0.472367, d5W0.423427, d5W0.391606, d5W0.373673, d5W0.367879, d5W0.373673, d5W1, d5W0.791065, d5W0.645649, d5W0.543691, d5W0.472367, d5W0.423427, d5W0.391606, d5W0.373673, d5W0.367879, d6W1, d6W0.645649, d6W0.791065, d6W0.472367, d6W0.543691, d6W0.645649, d6W0.391606, d6W0.423427, d6W0.472367, d6W0.543691, d6W0.367879, d6W0.373673, d6W0.391606, d6W0.423427, d6W0.472367, d6W0.391606, d6W0.373673, d6W0.367879, d6W0.373673, d6W0.391606, d6W0.423427, d6W0.472367, d6W0.423427, d6W0.391606, d6W0.373673, d6W0.367879, d6W0.373673, d6W0.391606, d6W0.645649, d6W0.543691, d6W0.472367, d6W0.423427, d6W0.391606, d6W0.373673, d6W0.367879, d6W0.373673, d6W1, d6W0.791065, d6W0.645649, d6W0.543691, d6W0.472367, d6W0.423427, d6W0.391606, d6W0.373673, d6W0.367879, d7W1, d7W0.645649, d7W0.791065, d7W0.472367, d7W0.543691, d7W0.645649, d7W0.391606, d7W0.423427, d7W0.472367, d7W0.543691, d7W0.367879, d7W0.373673, d7W0.391606, d7W0.423427, d7W0.472367, d7W0.391606, d7W0.373673, d7W0.367879, d7W0.373673, d7W0.391606, d7W0.423427, d7W0.472367, d7W0.423427, d7W0.391606, d7W0.373673, d7W0.367879, d7W0.373673, d7W0.391606, d7W0.645649, d7W0.543691, d7W0.472367, d7W0.423427, d7W0.391606, d7W0.373673, d7W0.367879, d7W0.373673, d7W1, d7W0.791065, d7W0.645649, d7W0.543691, d7W0.472367, d7W0.423427, d7W0.391606, d7W0.373673, d7W0.367879, 
700, 1,1,1,0.9775,0.0025,0,0,0,1,1,1,0.9775,0.0025,0,0,0,1,1,1,0.9775,0.0025,0,0,0,1,1,1,0.9775,0.0075,0,0,0,1,1,1,0.9775,0.0025,0,0,0,1,1,1,0.9775,0,0,0,0,1,1,1,0.9775,0,0,0,0,1,1,1,0.9775,0.005,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,196,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,196,2,0,0,0,0,0,0,2,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
710, 1,1,1,0.95,0.02,0,0,0,1,1,1,0.9525,0.02,0,0,0,1,1,1,0.95,0.0175,0,0,0,1,1,1,0.9525,0.02,0,0,0,1,1,1,0.955,0.0175,0.0075,0,0,1,1,1,0.955,0.0175,0,0,0,1,1,1,0.9525,0.0175,0,0,0,1,1,1,0.935,0.0175,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,178,4,7,2,2,4,2,1,2,2,4,0,2,1,2,2,0,4,0,2,1,2,1,2,0,4,0,2,4,2,2,1,2,0,4,0,178,7,4,2,2,1,2,0,4,187,5,3,0,1,5,0,1,0,1,3,0,0,1,0,0,0,3,0,0,1,0,1,0,0,3,0,0,5,1,0,1,0,0,3,0,187,3,5,1,0,1,0,0,3,198,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,2,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
720, 1,1,1,0.995,0.0125,0,0,0,1,1,1,0.9975,0.0125,0,0,0,1,1,1,0.9975,0.0125,0,0,0,1,1,1,0.9975,0.015,0,0,0,1,1,1,0.995,0.015,0,0,0,1,1,1,0.9975,0.015,0,0,0,1,1,1,0.9975,0.0125,0,0,0,1,1,1,0.9975,0.0125,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,192,1,4,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,192,4,1,0,0,0,0,0,3,194,1,0,1,0,1,2,0,1,0,2,0,2,0,1,2,0,2,0,2,0,1,0,2,0,2,0,2,1,0,1,0,2,0,2,0,194,0,1,0,1,0,2,0,2,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
730, 1,1,1,0.9725,0.02,0,0,0,1,1,1,0.975,0.02,0,0,0,1,1,1,0.975,0.02,0,0,0,1,1,1,0.9725,0.0225,0,0,0,1,1,1,0.975,0.0175,0,0,0,1,1,1,0.9725,0.0175,0,0,0,1,1,1,0.9725,0.0175,0,0,0,1,1,1,0.9725,0.02,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,198,0,0,0,0,0,0,1,1,194,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,194,0,0,0,0,0,0,0,6,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
740, 1,1,1,0.995,0.005,0,0,0,1,1,1,0.995,0.005,0,0,0,1,1,1,0.995,0.005,0,0,0,1,1,1,0.995,0.005,0,0,0,1,1,1,0.99,0.005,0,0,0,1,1,1,0.995,0.0075,0,0,0,1,1,1,0.9925,0.0025,0,0,0,1,1,1,0.9925,0.0025,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,197,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,197,1,1,0,0,0,0,0,1,197,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,197,0,0,1,1,0,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
750, 1,1,1,0.985,0.04,0,0,0,1,1,1,0.985,0.04,0,0,0,1,1,1,0.985,0.04,0,0,0,1,1,1,0.985,0.04,0,0,0,1,1,1,0.985,0.04,0,0,0,1,1,1,0.985,0.04,0,0,0,1,1,1,0.9875,0.04,0,0,0,1,1,1,0.9875,0.04,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,199,0,0,0,0,0,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
760, 1,1,1,0.96,0.0075,0,0,0,1,1,1,0.9625,0,0,0,0,1,1,1,0.965,0,0,0,0,1,1,1,0.965,0,0,0,0,1,1,1,0.9675,0,0,0,0,1,1,1,0.965,0,0,0,0,1,1,1,0.97,0,0,0,0,1,1,1,0.9675,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,187,3,2,0,0,3,1,1,0,0,3,3,1,1,0,1,3,3,3,1,1,0,1,1,3,3,3,1,3,0,0,1,1,3,3,3,187,2,3,0,0,1,1,3,3,198,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,2,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
770, 1,1,1,0.9925,0.0125,0,0,0,1,1,1,0.995,0.0125,0,0,0,1,1,1,0.995,0.0125,0,0,0,1,1,1,0.9825,0.0125,0,0,0,1,1,1,0.99,0.0125,0,0,0,1,1,1,0.99,0.0125,0,0,0,1,1,1,0.9925,0.0125,0,0,0,1,1,1,0.975,0.0125,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,173,4,14,0,0,4,0,2,0,0,7,0,0,2,0,0,0,7,0,0,2,0,2,0,0,7,0,0,4,0,0,2,0,0,7,0,173,14,4,0,0,2,0,0,7,197,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,3,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
780, 1,1,1,0.9875,0.0325,0.0025,0,0,1,1,1,0.9875,0.0275,0.0025,0,0,1,1,1,0.9875,0.0275,0.0025,0,0,1,1,1,0.9875,0.03,0.0025,0,0,1,1,1,0.9825,0.03,0.0025,0,0,1,1,1,0.9875,0.025,0.0025,0,0,1,1,1,0.9875,0.0275,0.0025,0,0,1,1,1,0.9875,0.0275,0.0025,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,197,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,197,2,0,0,0,0,0,0,1,184,2,3,1,0,2,0,3,1,0,6,1,0,3,1,0,1,6,1,0,3,1,3,0,1,6,1,0,2,0,1,3,0,1,6,1,184,3,2,0,1,3,0,1,6,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
790, 1,1,1,0.9875,0.005,0,0,0,1,1,1,0.9875,0.005,0,0,0,1,1,1,0.9875,0.005,0,0,0,1,1,1,0.99,0.005,0,0,0,1,1,1,0.99,0.005,0,0,0,1,1,1,0.9875,0.0075,0,0,0,1,1,1,0.99,0.005,0,0,0,1,1,1,0.99,0.005,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,192,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,192,2,0,0,0,0,0,0,6,194,2,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,194,3,2,1,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
800, 1,1,1,1,0.0275,0,0,0,1,1,1,1,0.0275,0,0,0,1,1,1,1,0.035,0,0,0,1,1,1,1,0.0275,0,0,0,1,1,1,1,0.0275,0,0,0,1,1,1,1,0.0325,0,0,0,1,1,1,1,0.0375,0,0,0,1,1,1,1,0.0375,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,180,3,4,0,2,3,0,0,0,2,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,3,2,0,0,0,0,11,0,180,4,3,2,0,0,0,0,11,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
810, 1,1,1,0.99,0.0025,0,0,0,1,1,1,0.99,0.0025,0,0,0,1,1,1,0.99,0.0025,0,0,0,1,1,1,0.99,0.0025,0,0,0,1,1,1,0.9875,0.0025,0,0,0,1,1,1,0.9875,0.0025,0,0,0,1,1,1,0.9875,0.0025,0,0,0,1,1,1,0.9875,0.0025,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,199,0,0,0,0,0,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
